"feedback_id";"citizen_id";"complaint_id";"rating";"comment"
582;110;862;3;"Very satisfied with the resolution."
583;47;435;4;"Very satisfied with the resolution."
588;835;121;2;"Staff was polite and helpful."
590;192;231;4;"Staff was polite and helpful."
591;416;296;1;"Very satisfied with the resolution."
594;394;470;3;"Resolved faster than expected."
601;296;629;2;"Resolved faster than expected."
604;949;395;1;"Problem solved, thanks."
608;881;473;4;"Issue still not fixed after several days."
609;954;541;2;"Issue still not fixed after several days."
610;234;962;4;"Please improve response time."
614;385;993;1;"Very satisfied with the resolution."
616;618;91;4;"Resolved faster than expected."
618;369;712;5;"Please improve response time."
621;913;877;4;"Please improve response time."
622;844;314;4;"Issue still not fixed after several days."
623;143;922;5;"Still waiting for action."
625;143;798;1;"Had to call multiple times."
626;707;211;4;"Resolved faster than expected."
627;244;416;1;"Staff was polite and helpful."
630;522;760;5;"Very satisfied with the resolution."
631;131;36;4;"Issue still not fixed after several days."
632;219;866;2;"Very satisfied with the resolution."
633;726;528;1;"Resolved faster than expected."
634;306;528;4;"Please improve response time."
638;594;602;4;"Excellent service!"
643;692;486;1;"Still waiting for action."
645;593;405;5;"Very satisfied with the resolution."
646;208;396;4;"Issue still not fixed after several days."
648;672;123;3;"Please improve response time."
651;89;976;5;"Still waiting for action."
656;550;901;5;"Excellent service!"
660;431;231;2;"Issue still not fixed after several days."
662;659;602;4;"Problem solved, thanks."
664;650;259;2;"Problem solved, thanks."
665;509;66;1;"Had to call multiple times."
671;849;193;5;"Had to call multiple times."
672;471;851;4;"Staff was polite and helpful."
673;502;822;3;"Quick response, thank you!"
677;154;11;5;"Still waiting for action."
680;865;528;3;"Quick response, thank you!"
683;743;754;3;"Excellent service!"
686;196;620;1;"Issue still not fixed after several days."
694;645;551;5;"Issue still not fixed after several days."
696;919;103;2;"Very satisfied with the resolution."
697;45;711;1;"Resolved faster than expected."
698;20;440;4;"Issue still not fixed after several days."
699;771;963;1;"Staff was polite and helpful."
703;551;257;4;"Staff was polite and helpful."
705;963;285;3;"Issue still not fixed after several days."
714;775;277;3;"Resolved faster than expected."
715;395;201;4;"Resolved faster than expected."
723;765;61;2;"Excellent service!"
728;917;45;4;"Resolved faster than expected."
736;797;81;5;"Had to call multiple times."
738;457;441;4;"Please improve response time."
739;250;787;3;"Resolved faster than expected."
742;458;681;2;"Quick response, thank you!"
743;918;438;4;"Issue still not fixed after several days."
744;680;50;4;"Problem solved, thanks."
745;872;108;1;"Please improve response time."
746;707;570;3;"Had to call multiple times."
750;714;864;4;"Staff was polite and helpful."
752;57;852;4;"Very satisfied with the resolution."
759;144;977;4;"Quick response, thank you!"
761;931;491;4;"Excellent service!"
762;263;604;4;"Issue still not fixed after several days."
763;145;903;2;"Problem solved, thanks."
764;171;810;1;"Please improve response time."
766;291;480;1;"Had to call multiple times."
767;938;89;1;"Staff was polite and helpful."
768;992;676;1;"Staff was polite and helpful."
774;848;528;3;"Quick response, thank you!"
781;579;254;3;"Excellent service!"
782;791;211;4;"Still waiting for action."
785;96;718;1;"Issue still not fixed after several days."
788;259;575;2;"Issue still not fixed after several days."
789;998;198;3;"Resolved faster than expected."
793;309;967;3;"Resolved faster than expected."
794;442;301;1;"Issue still not fixed after several days."
799;693;789;1;"Issue still not fixed after several days."
800;898;469;1;"Had to call multiple times."
811;640;395;3;"Resolved faster than expected."
812;593;486;1;"Quick response, thank you!"
813;929;480;5;"Excellent service!"
814;683;459;2;"Excellent service!"
815;517;737;1;"Staff was polite and helpful."
816;802;520;4;"Please improve response time."
819;570;342;2;"Problem solved, thanks."
820;373;117;2;"Had to call multiple times."
822;360;167;5;"Still waiting for action."
824;403;790;5;"Issue still not fixed after several days."
830;839;898;4;"Very satisfied with the resolution."
834;481;145;1;"Problem solved, thanks."
837;980;441;5;"Problem solved, thanks."
839;838;733;5;"Please improve response time."
841;178;428;4;"Excellent service!"
843;297;875;4;"Quick response, thank you!"
844;525;122;4;"Had to call multiple times."
845;164;66;2;"Please improve response time."
846;29;853;1;"Quick response, thank you!"
852;505;370;2;"Quick response, thank you!"
853;711;469;5;"Very satisfied with the resolution."
855;219;139;1;"Excellent service!"
859;299;654;4;"Very satisfied with the resolution."
860;258;387;3;"Quick response, thank you!"
861;128;211;3;"Quick response, thank you!"
863;598;629;5;"Quick response, thank you!"
865;681;37;3;"Very satisfied with the resolution."
866;441;486;5;"Resolved faster than expected."
867;239;193;3;"Still waiting for action."
871;927;428;3;"Please improve response time."
876;976;375;3;"Staff was polite and helpful."
877;895;254;4;"Excellent service!"
881;170;588;4;"Please improve response time."
882;273;371;3;"Resolved faster than expected."
883;565;686;3;"Please improve response time."
884;734;712;4;"Very satisfied with the resolution."
889;766;301;2;"Please improve response time."
890;270;280;1;"Problem solved, thanks."
892;70;588;2;"Had to call multiple times."
893;637;473;1;"Resolved faster than expected."
899;939;111;4;"Quick response, thank you!"
900;72;417;4;"Staff was polite and helpful."
905;981;493;5;"Still waiting for action."
908;265;729;5;"Quick response, thank you!"
909;405;951;4;"Staff was polite and helpful."
913;363;459;2;"Staff was polite and helpful."
918;82;11;2;"Please improve response time."
919;1000;571;2;"Still waiting for action."
923;38;188;5;"Still waiting for action."
924;356;813;2;"Very satisfied with the resolution."
926;368;86;2;"Problem solved, thanks."
928;184;480;3;"Please improve response time."
929;777;490;1;"Problem solved, thanks."
931;683;734;1;"Please improve response time."
933;419;490;2;"Very satisfied with the resolution."
936;496;975;4;"Please improve response time."
937;46;600;3;"Resolved faster than expected."
940;638;676;5;"Resolved faster than expected."
941;591;375;3;"Quick response, thank you!"
943;342;331;5;"Very satisfied with the resolution."
945;792;465;5;"Staff was polite and helpful."
947;725;231;1;"Problem solved, thanks."
948;534;296;3;"Staff was polite and helpful."
949;363;973;3;"Had to call multiple times."
954;455;843;3;"Issue still not fixed after several days."
955;137;481;5;"Staff was polite and helpful."
957;85;967;4;"Quick response, thank you!"
960;480;259;3;"Please improve response time."
966;68;280;2;"Still waiting for action."
975;114;440;4;"Staff was polite and helpful."
977;425;981;5;"Still waiting for action."
984;825;981;4;"Please improve response time."
987;516;256;2;"Problem solved, thanks."
989;456;145;1;"Very satisfied with the resolution."
993;124;191;4;"Very satisfied with the resolution."
995;940;222;4;"Still waiting for action."
998;740;486;5;"Please improve response time."
999;450;759;3;"Quick response, thank you!"
1000;75;206;3;"Very satisfied with the resolution."
